time,backoff_time
3152296020,205
3152831010,277
3154979665,88
3156662337,115
3157508963,322
3161649601,304
3163134088,160
3164647441,277
3164839035,241
3168273605,52
3170199786,160
3174327433,160
3176044028,61
3179648472,142
3183035535,106
3184562845,205
3188472120,178
3190386852,160
3191697109,97
3192284536,232
3198886421,286
3201245733,70
3202423505,313
3202441605,169
3206425058,223
3207258016,196
3214006544,106
3214578613,79
3216071880,286
3222845055,322
3223742047,187
3228237050,151
3228243093,43
3228621494,169
3232516618,106
3236046337,43
3237918030,115
3239246499,268
3243720018,268
3255618935,106
3260224465,214
3260428229,43
3266006011,61
3266386030,196
3274739891,43
3277584067,142
3284841758,313
3293974095,295
3298414102,241
3300840031,232
3302473109,214
3307629951,322
3310283503,61
3315465533,223
3318954573,88
3319571120,133
3328473618,304
3333576446,115
3334491097,259
3335356517,214
3336858932,133
3338368387,205
3338608451,187
3338870115,61
3341450056,97
3350037113,232
3355359076,232
3364740529,97
3370930283,259
3370995004,52
3372418949,160
3382782068,79
3386533481,196
3386556593,52
3387061355,205
3389190358,97
3393296994,286
3396374592,277
3399934056,43
3399951442,250
3401730106,52
3403638587,232
3407472114,250
3408177409,151
3410215104,223
3412174615,115
3413162431,52
3414327770,133
3415616564,52
3415883595,187
3418254105,70
3418544042,286
3420334779,142
3422851620,178
3431618083,232
3435753570,322
3437716793,43
3444479814,124
3455747372,151
3457038038,241
3458792405,268
3465970585,178
3469332327,106
3471327105,232
3473467597,223
3474129497,151
3477286038,97
3477792518,79
3478165353,52
3485705051,124
3486473615,268
3487654886,52
3489876954,124
3489958950,79
3490062973,169
3493431919,124
3493607539,133
3493949313,151
3496410383,268
3496492048,97
3502202456,178
3504445049,52
3510035978,178
3516557572,52
3520125086,277
3521340790,133
3526413081,133
3527864112,151
3534705935,187
3537248018,133
3538181568,250
3541041090,196
3543327306,160
3548865556,196
3552695094,304
3554354361,214
3556077432,187
3559700110,250
3561234497,250
3562361534,241
3564098933,79
3564980451,88
3566665691,79
3568179442,223
3568859318,205
3570713863,79
3576423117,250
3581168086,124
3584010101,169
3586161947,187
3586260426,286
3586637609,151
3590874096,97
3591510573,277
3592556809,259
3593203398,241
3602367353,232
3604969102,133
3607173898,286
3608181222,268
3610169593,214
3613782372,205
3614261982,250
3617134346,151
3619295481,124
3625452501,88
3626040487,97
3626355420,169
3627135117,133
3627938609,88
3633194467,43
3633989864,196
3634421970,205
3638616081,232
3639754558,79
3639864090,97
3640926965,205
3643977609,106
3651966738,313
3652444269,169
3655333095,61
3656319700,196
3658323996,223
3660596069,151
3663964864,259
3670526083,115
3671343057,286
3672391117,133
3675194547,178
3677755094,178
3679364201,313
3680226608,187
3687829522,322
3688695074,133
3688851968,88
3693207968,205
3693923335,304
3698974406,322
3700156098,196
3703964565,169
3705574342,160
3710154750,169
3710751117,223
3715815924,304
3718399096,88
3725719327,196
3728066539,52
3732329432,196
3737021421,61
3739391489,313
3739652872,106
3744028547,124
3748930914,196
3751612262,160
3752258418,52
3754189161,151
3756953070,88
3767814970,97
3772528906,115
3784661102,52
3793962894,52
3799650487,205
3803526906,133
3809019515,151
3809107299,88
3811670403,196
3813292613,88
3816221003,115
3819782584,43
3820771384,97
3824802274,88
3829354060,70
3836934894,106
3843606230,286
3851563521,160
3854073959,304
3856372105,286
3856534010,322
3856715101,160
3857427369,115
3858859528,43
3859063013,259
3864264839,223
3867027240,43
3879172897,97
3879739005,79
3879978618,124
3888681488,250
3890229902,70
3896635965,151
3897356736,187
3899907536,178
3902369462,268
3903239802,196
3908322226,106
3909807079,232
3913905842,196
3919993113,97
3920074091,79
3922951573,196
3925871058,160
3926774918,151
3931249388,259
3933003005,214
3934552514,313
3939254505,124
3940852487,178
3941650272,250
3943416771,268
3948750976,223
3953244833,241
3955093081,169
3961964607,43
3965983873,205
3967039498,169
3967629117,43
3970353767,142
3974928245,151
3980842576,142
3981645577,250
3982917446,214
3986355563,70
3987518119,133
3990277591,259
3992473018,304
3995090313,259
3999797578,61
4004411970,61
4010027844,259
4014236557,250
4016823619,88
4019277074,52
4021214098,52
4021684084,52
4024702940,286
